Season,Game_ID,Game_Date,Away_Team,Home_Team,home_team_score,away_team_score,wins_home,wins_away,loss_home,loss_away,largest_lead_home,largest_lead_away,result_win,ASG_Count,day,rivalry,Home_Team_Twitter,Away_Team_Twitter,Home_Team_Rank,Away_Team_Rank,Holiday,Rounded Viewers
2016-17,21600064,2016-11-02,18,25,83,85,3,3,0,0,3,10,2,2,2,0,1100000,1800000,6,17,0,32263
2016-17,21600065,2016-11-03,15,4,102,94,1,2,3,3,13,8,1,1,3,0,1500000,714000,19,15,0,19494
2016-17,21600067,2016-11-03,24,27,102,99,1,1,2,2,14,15,1,0,3,0,645000,634000,29,22,0,15912
2016-17,21600068,2016-11-03,6,1,122,128,3,4,1,0,3,20,2,4,3,0,2100000,2300000,11,5,0,35052
2016-17,21600070,2016-11-04,13,28,92,95,3,0,1,3,1,16,2,2,4,0,662000,991000,18,23,0,21556
2016-17,21600071,2016-11-04,19,7,87,96,2,3,2,1,12,16,2,2,4,0,1400000,4090000,13,10,0,16590
2016-17,21600072,2016-11-04,29,16,95,99,2,3,3,1,13,7,2,1,4,0,755000,726000,7,28,0,12057
2016-17,21600074,2016-11-04,25,9,99,88,3,3,1,2,21,3,1,2,4,0,766000,1100000,26,6,0,11167
2016-17,21600075,2016-11-04,11,21,111,112,0,1,5,4,7,9,2,1,4,0,659000,753000,30,14,0,19451
2016-17,21600076,2016-11-04,2,30,95,105,0,2,4,3,7,16,2,0,4,0,1200000,823000,9,17,0,12324
2016-17,21600077,2016-11-04,23,20,100,86,4,3,1,2,19,8,1,2,4,0,632000,2300000,20,12,0,18885
2016-17,21600078,2016-11-04,3,12,97,117,4,2,1,3,0,22,2,4,4,0,6170000,3500000,2,3,0,50226
2016-17,21600079,2016-11-05,27,18,92,112,1,4,3,1,1,26,2,1,5,0,1800000,645000,16,29,0,34055
2016-17,21600080,2016-11-05,1,10,102,101,5,0,0,4,18,5,1,3,5,0,925000,2100000,25,11,0,54229
2016-17,21600081,2016-11-05,28,4,88,86,2,1,3,3,6,12,1,1,5,0,1500000,662000,19,18,0,13713
2016-17,21600083,2016-11-05,14,5,94,111,3,2,2,3,0,27,2,2,5,0,930000,3600000,24,4,0,17387
2016-17,21600084,2016-11-05,26,13,112,97,3,3,2,2,21,4,1,2,5,0,991000,1710000,23,8,0,19454
2016-17,21600085,2016-11-05,15,8,117,91,3,2,2,4,31,0,1,2,5,0,695000,714000,27,15,0,14313
2016-17,21600086,2016-11-05,25,23,116,92,4,5,1,1,28,8,1,2,5,0,2300000,1100000,12,6,0,35096
2016-17,21600087,2016-11-06,20,22,109,114,2,3,3,3,13,9,2,2,6,0,1780000,632000,1,20,0,32867
2016-17,21600088,2016-11-06,2,9,100,94,3,3,3,3,9,10,1,1,6,0,766000,823000,26,17,0,22621
2016-17,21600089,2016-11-06,15,7,96,91,2,4,5,1,7,11,1,3,6,0,1400000,714000,13,15,0,19734
2016-17,21600090,2016-11-06,8,30,86,75,0,4,5,2,11,13,1,1,6,0,1200000,695000,9,27,0,19651
2016-17,21600091,2016-11-06,24,6,107,123,3,2,2,3,2,25,2,1,6,0,2300000,634000,5,22,0,13062
2016-17,21600092,2016-11-06,11,12,119,108,3,2,3,4,16,1,1,0,6,0,6170000,753000,2,14,0,23222
2016-17,21600094,2016-11-07,26,28,114,106,3,1,3,4,11,11,1,2,0,0,662000,1710000,18,8,0,20057
2016-17,21600095,2016-11-07,5,29,100,122,3,4,3,1,3,28,2,2,0,0,726000,930000,28,24,0,13954
2016-17,21600097,2016-11-07,19,18,85,97,2,5,3,1,2,24,2,1,0,0,1800000,4090000,16,10,0,21952
2016-17,21600098,2016-11-07,17,25,114,82,5,4,1,2,43,2,1,1,0,0,1100000,710000,6,21,0,14044
2016-17,21600099,2016-11-07,21,3,106,116,0,4,6,2,5,21,2,5,0,0,3500000,659000,3,30,0,42524
2016-17,21600100,2016-11-08,13,1,110,106,4,6,2,0,18,5,1,4,1,0,2100000,991000,11,23,0,44960
2016-17,21600101,2016-11-08,27,16,110,119,1,2,4,4,2,9,2,0,1,0,755000,645000,7,29,0,18683
2016-17,21600102,2016-11-08,24,9,107,108,3,3,3,4,7,8,2,1,1,0,766000,634000,26,22,0,16643
2016-17,21600103,2016-11-08,11,2,121,124,2,4,5,3,0,18,2,0,1,0,823000,753000,17,14,0,16491
2016-17,21600104,2016-11-08,30,12,109,97,1,4,5,3,12,10,1,0,1,0,6170000,1200000,2,9,0,24491
2016-17,21600105,2016-11-08,21,15,94,102,0,3,7,5,0,12,2,2,1,0,714000,659000,15,30,0,9374
2016-17,21600106,2016-11-09,16,22,96,110,3,2,4,4,14,20,2,1,2,2,1780000,755000,1,7,0,23224
2016-17,21600107,2016-11-09,6,28,93,118,3,1,3,5,0,27,2,2,2,0,662000,2300000,18,5,0,11471
2016-17,21600108,2016-11-09,20,29,98,104,5,5,3,1,10,10,2,2,2,0,726000,632000,28,20,0,9833
2016-17,21600109,2016-11-09,27,4,123,107,1,3,5,4,30,0,1,0,2,0,1500000,645000,19,29,0,10826
2016-17,21600110,2016-11-09,10,5,122,115,3,0,4,6,8,10,1,1,2,0,930000,925000,24,25,0,18285
2016-17,21600111,2016-11-09,14,13,115,107,5,4,2,3,17,5,1,2,2,0,991000,3600000,23,4,0,19354
2016-17,21600114,2016-11-09,26,23,101,99,4,5,3,2,13,2,1,2,2,3,2300000,1710000,12,8,0,30160
2016-17,21600115,2016-11-09,2,25,111,80,6,5,1,3,48,0,1,1,2,0,1100000,823000,6,17,0,14308
2016-17,21600116,2016-11-09,30,3,95,116,2,5,5,2,0,33,2,4,2,0,3500000,1200000,3,9,0,30939
2016-17,21600117,2016-11-10,21,8,112,106,0,4,8,3,15,5,1,2,3,0,695000,659000,27,30,0,19504
2016-17,21600118,2016-11-10,14,19,98,95,4,2,4,4,6,8,1,1,3,2,4090000,3600000,10,4,0,33327
2016-17,21600120,2016-11-10,12,15,101,91,4,4,4,5,10,19,1,1,3,0,714000,6170000,15,2,0,21465
2016-17,21600121,2016-11-11,5,10,105,109,4,0,4,7,14,7,2,1,4,0,925000,930000,25,24,1,26058
2016-17,21600123,2016-11-11,7,29,113,111,5,6,2,1,16,10,1,3,4,0,726000,1400000,28,13,1,18236
2016-17,21600124,2016-11-11,20,4,74,87,3,5,5,4,7,13,2,1,4,0,1500000,632000,19,20,1,8935
2016-17,21600125,2016-11-11,22,6,115,87,3,3,4,4,30,0,1,2,4,2,2300000,1780000,5,1,1,26413
2016-17,21600126,2016-11-11,25,18,110,108,7,6,1,2,11,8,1,2,4,0,1800000,1100000,16,6,1,34404
2016-17,21600127,2016-11-11,17,23,96,86,5,4,3,4,13,6,1,1,4,0,2300000,710000,12,21,1,18795
2016-17,21600128,2016-11-11,15,2,122,120,5,4,4,6,12,7,1,1,4,0,823000,714000,17,15,1,19891
2016-17,21600129,2016-11-12,12,21,99,126,1,5,8,4,6,29,2,1,5,0,659000,6170000,30,2,0,31346
2016-17,21600131,2016-11-12,22,7,107,118,3,6,5,2,5,11,2,3,5,0,1400000,1780000,13,1,0,28280
2016-17,21600135,2016-11-12,25,27,119,105,8,2,1,5,19,2,1,1,5,0,645000,1100000,29,6,0,17917
2016-17,21600136,2016-11-12,20,19,91,102,2,6,5,4,2,21,2,1,5,0,4090000,632000,10,20,0,7971
2016-17,21600137,2016-11-12,9,8,106,96,4,4,4,4,14,1,1,2,5,0,695000,766000,27,26,0,10469
2016-17,21600139,2016-11-12,16,11,122,104,3,3,5,6,20,5,1,0,5,0,753000,755000,14,7,0,9926
2016-17,21600141,2016-11-13,4,18,119,117,3,6,6,3,21,4,1,1,6,0,1800000,1500000,16,19,0,28191
2016-17,21600142,2016-11-13,12,27,99,125,6,2,4,6,3,26,2,0,6,0,645000,6170000,29,2,0,27046
2016-17,21600143,2016-11-13,11,3,133,120,7,3,2,7,14,9,1,4,6,0,3500000,753000,3,14,0,39426
2016-17,21600144,2016-11-13,24,2,105,112,3,6,6,4,17,16,2,0,6,0,823000,634000,17,22,0,13463
2016-17,21600145,2016-11-14,4,5,69,88,4,4,6,6,6,21,2,1,0,0,930000,1500000,24,19,0,14038
2016-17,21600146,2016-11-14,30,22,77,93,2,3,6,6,10,23,2,1,0,0,1780000,1200000,1,9,0,21157
2016-17,21600150,2016-11-14,19,23,90,94,2,7,6,3,4,18,2,1,0,0,2300000,4090000,12,10,0,15588
2016-17,21600151,2016-11-14,9,20,96,102,7,4,4,5,2,13,2,2,0,0,632000,766000,20,26,0,12146
2016-17,21600152,2016-11-14,16,25,127,95,9,4,1,5,40,2,1,1,0,0,1100000,755000,6,7,0,13046
2016-17,21600153,2016-11-15,7,1,121,117,8,7,1,2,12,7,1,5,1,0,2100000,1400000,11,13,0,40979
2016-17,21600154,2016-11-15,13,19,93,90,7,2,2,7,10,8,1,1,1,0,4090000,991000,10,23,0,19854
2016-17,21600155,2016-11-15,29,27,108,115,3,6,6,3,14,10,2,1,1,0,645000,726000,29,28,0,16568
2016-17,21600156,2016-11-15,14,2,113,88,6,7,4,4,26,0,1,1,1,0,823000,3600000,17,4,0,18934
2016-17,21600157,2016-11-15,16,12,125,118,6,4,5,6,13,5,1,0,1,0,6170000,755000,2,7,0,25781
2016-17,21600158,2016-11-16,28,10,109,102,1,2,9,7,24,2,1,1,2,0,925000,662000,25,18,0,15267
2016-17,21600159,2016-11-16,21,4,82,89,2,4,9,7,3,15,2,1,2,0,1500000,659000,19,30,0,8359
2016-17,21600161,2016-11-16,30,6,90,83,5,2,5,7,12,4,1,1,2,0,2300000,1200000,5,9,0,11430
2016-17,21600164,2016-11-16,26,18,103,105,6,6,4,5,11,13,2,2,2,0,1800000,1710000,16,8,0,30143
2016-17,21600165,2016-11-16,3,7,127,121,8,7,2,3,19,10,1,6,2,0,1400000,3500000,13,3,0,39188
2016-17,21600166,2016-11-16,11,24,120,104,3,3,7,8,20,0,1,0,2,0,634000,753000,22,14,0,6777
2016-17,21600167,2016-11-16,9,25,107,111,10,5,1,5,5,16,2,2,2,0,1100000,766000,6,26,0,21758
2016-17,21600168,2016-11-16,23,15,105,110,4,8,7,3,3,18,2,2,2,0,714000,2300000,15,12,0,14713
2016-17,21600169,2016-11-17,22,28,112,119,5,2,6,8,6,27,2,2,3,0,662000,1780000,18,1,0,23430
2016-17,21600171,2016-11-17,2,26,126,109,6,7,5,5,25,6,1,1,3,0,1710000,823000,8,17,0,15024
2016-17,21600172,2016-11-17,10,27,110,86,3,2,7,9,33,1,1,0,3,0,645000,925000,29,25,0,12168
2016-17,21600173,2016-11-17,14,20,85,77,7,7,4,5,17,5,1,2,3,0,632000,3600000,20,4,0,17728
2016-17,21600174,2016-11-18,13,29,96,100,9,7,2,3,10,8,2,2,4,0,726000,991000,28,23,0,18471
2016-17,21600175,2016-11-18,17,1,104,81,9,6,2,6,33,6,1,3,4,0,2100000,710000,11,21,0,22137
2016-17,21600177,2016-11-18,2,21,113,101,2,7,10,6,20,2,1,1,4,0,659000,823000,30,17,0,9482
2016-17,21600179,2016-11-18,3,6,88,104,6,9,5,2,3,30,2,5,4,0,2300000,3500000,5,3,0,31186
2016-17,21600180,2016-11-18,9,30,64,80,2,6,8,5,5,22,2,1,4,0,1200000,766000,9,26,0,7881
2016-17,21600181,2016-11-18,7,24,111,113,4,7,7,4,8,12,2,2,4,0,634000,1400000,22,13,0,15187
2016-17,21600182,2016-11-18,23,12,107,116,7,9,5,3,5,17,2,1,4,3,6170000,2300000,2,12,0,26190
2016-17,21600183,2016-11-18,25,15,121,115,10,4,2,8,26,4,1,2,4,0,714000,1100000,15,6,0,14178
2016-17,21600184,2016-11-19,20,26,111,102,7,7,5,6,16,3,1,2,5,3,1710000,632000,8,20,0,23656
2016-17,21600185,2016-11-19,29,21,121,116,3,8,10,3,5,14,1,2,5,0,659000,726000,30,28,0,22051
2016-17,21600186,2016-11-19,19,28,114,111,3,3,8,8,17,7,1,1,5,0,662000,4090000,18,10,0,12463
2016-17,21600187,2016-11-19,30,4,87,95,2,5,9,7,5,9,2,0,5,0,1500000,1200000,19,9,0,9890
2016-17,21600188,2016-11-19,6,17,94,92,6,6,6,7,9,7,1,1,5,2,710000,2300000,21,5,0,15869
2016-17,21600189,2016-11-19,11,10,120,105,2,4,10,9,29,0,1,0,5,0,925000,753000,25,14,0,11301
2016-17,21600190,2016-11-19,27,9,71,93,4,7,7,5,3,25,2,1,5,0,766000,645000,26,29,0,13000
2016-17,21600191,2016-11-19,3,8,124,121,10,5,2,6,14,9,1,5,5,0,695000,3500000,27,3,0,37770
2016-17,21600193,2016-11-20,13,22,94,104,9,5,3,7,3,15,2,2,6,0,1780000,991000,1,23,0,26525
2016-17,21600194,2016-11-20,2,16,109,129,4,7,8,7,3,23,2,0,6,0,755000,823000,7,17,0,17475
2016-17,21600195,2016-11-20,5,18,115,111,6,8,7,5,15,4,1,2,6,0,1800000,930000,16,24,0,33431
2016-17,21600197,2016-11-20,20,24,105,91,4,7,8,7,20,2,1,1,6,0,634000,632000,22,20,0,7274
2016-17,21600198,2016-11-20,14,12,118,110,8,7,5,6,15,10,1,1,6,0,6170000,3600000,2,4,0,29265
2016-17,21600199,2016-11-21,19,10,94,101,4,3,8,10,8,10,2,0,0,0,925000,4090000,25,10,0,17913
2016-17,21600200,2016-11-21,11,28,101,106,4,3,10,9,11,7,2,1,0,0,662000,753000,18,14,0,10283
2016-17,21600202,2016-11-21,3,5,120,83,11,7,2,7,37,2,1,5,0,0,930000,3500000,24,3,0,29362
2016-17,21600204,2016-11-21,4,8,93,89,5,6,7,7,9,14,1,1,0,0,695000,1500000,27,19,0,9893
2016-17,21600205,2016-11-21,6,27,99,93,7,4,6,8,8,15,1,1,0,0,645000,2300000,29,5,0,16458
2016-17,21600207,2016-11-21,7,25,123,115,12,8,2,5,17,4,1,3,0,0,1100000,1400000,6,13,0,24465
2016-17,21600208,2016-11-22,2,22,107,103,6,8,7,7,7,9,1,1,1,0,1780000,823000,1,17,0,29689
2016-17,21600209,2016-11-22,21,13,94,112,9,4,4,10,3,35,2,2,1,0,991000,659000,23,30,0,15326
2016-17,21600210,2016-11-22,14,24,107,110,9,5,5,8,14,10,2,1,1,0,634000,3600000,22,4,0,23234
2016-17,21600211,2016-11-22,18,12,111,109,7,8,7,6,14,4,1,1,1,0,6170000,1800000,2,17,0,36747
2016-17,21600212,2016-11-23,9,10,99,104,4,9,10,5,11,6,2,1,2,0,925000,766000,25,26,0,21969
2016-17,21600213,2016-11-23,23,29,119,114,11,8,3,5,8,5,1,2,2,0,726000,2300000,28,12,0,22375
2016-17,21600214,2016-11-23,11,4,87,92,6,4,8,11,4,12,2,0,2,0,1500000,753000,19,14,0,6173
2016-17,21600215,2016-11-23,2,1,137,125,10,8,2,8,23,0,1,3,2,0,2100000,823000,11,17,0,35224
2016-17,21600216,2016-11-23,13,5,96,85,9,7,5,8,20,3,1,2,2,0,930000,991000,24,23,0,7431
2016-17,21600218,2016-11-23,19,17,84,107,4,6,9,9,1,28,2,0,2,0,710000,4090000,21,10,0,6105
2016-17,21600219,2016-11-23,7,26,102,115,9,8,5,6,2,20,2,3,2,0,1710000,1400000,8,13,0,14694
2016-17,21600221,2016-11-23,24,20,83,108,6,7,8,8,0,28,2,1,2,0,632000,634000,20,22,0,5940
2016-17,21600222,2016-11-23,27,21,117,96,5,4,10,9,26,8,1,1,2,0,659000,645000,30,29,0,14783
2016-17,21600223,2016-11-23,12,3,149,106,12,8,2,7,43,2,1,4,2,0,3500000,6170000,3,2,0,36581
2016-17,21600224,2016-11-23,18,15,116,101,5,8,9,7,16,2,1,2,2,0,714000,1800000,15,17,0,14319
2016-17,21600225,2016-11-25,23,6,103,109,9,12,6,3,14,8,2,2,4,0,2300000,2300000,5,12,0,28987
2016-17,21600226,2016-11-25,28,4,91,94,6,4,9,9,4,19,2,1,4,0,1500000,662000,19,18,0,14862
2016-17,21600227,2016-11-25,30,1,128,90,11,2,2,12,45,2,1,3,4,0,2100000,1200000,11,9,0,25988
2016-17,21600228,2016-11-25,29,22,113,111,7,8,7,6,6,13,1,2,4,0,1780000,726000,1,28,0,27379
2016-17,21600230,2016-11-25,25,17,97,108,14,7,2,9,2,18,2,1,4,0,710000,1100000,21,6,0,17516
2016-17,21600231,2016-11-25,13,20,68,95,10,8,5,8,1,32,2,2,4,0,632000,991000,20,23,0,6643
2016-17,21600232,2016-11-25,7,8,99,105,6,9,7,6,2,10,2,3,4,0,695000,1400000,27,13,0,15468
2016-17,21600233,2016-11-25,19,9,90,81,4,10,10,5,17,0,1,1,4,0,766000,4090000,26,10,0,6767
2016-17,21600234,2016-11-25,16,5,97,118,4,7,10,9,7,31,2,1,4,0,930000,755000,24,7,0,4767
2016-17,21600235,2016-11-25,18,24,129,132,6,8,9,8,13,6,2,1,4,0,634000,1800000,22,17,0,23764
2016-17,21600236,2016-11-25,27,11,98,85,4,5,10,11,13,13,1,0,4,0,753000,645000,14,29,0,10789
2016-17,21600237,2016-11-25,21,2,104,119,6,8,10,9,9,17,2,1,4,0,823000,659000,17,30,0,11599
2016-17,21600238,2016-11-25,3,12,109,85,13,8,2,8,24,5,1,4,4,0,6170000,3500000,2,3,0,35529
2016-17,21600239,2016-11-25,26,15,117,104,9,6,6,9,29,0,1,2,4,0,714000,1710000,15,8,0,9249
2016-17,21600240,2016-11-26,23,28,112,100,13,5,3,9,19,5,1,2,5,0,662000,2300000,18,12,0,19953
2016-17,21600241,2016-11-26,22,29,102,107,8,8,7,7,2,21,2,2,5,0,726000,1780000,28,1,0,28648
2016-17,21600243,2016-11-26,9,19,107,110,5,10,10,6,9,7,2,1,5,0,4090000,766000,10,26,0,16264
2016-17,21600244,2016-11-26,27,3,115,102,14,5,2,10,17,6,1,4,5,0,3500000,645000,3,29,0,38532
2016-17,21600245,2016-11-27,1,10,112,108,12,4,2,12,11,14,1,3,6,0,925000,2100000,25,11,0,34859
2016-17,21600247,2016-11-27,15,16,105,122,4,6,11,10,9,22,2,1,6,0,755000,714000,7,15,0,9640
2016-17,21600248,2016-11-27,8,4,104,96,6,6,8,10,11,6,1,1,6,0,1500000,695000,19,27,0,8776
2016-17,21600249,2016-11-27,25,5,70,91,14,8,3,9,2,21,2,2,6,0,930000,1100000,24,6,0,15987
2016-17,21600251,2016-11-27,26,2,130,114,10,9,6,9,16,5,1,1,6,0,823000,1710000,17,8,0,14172
2016-17,21600252,2016-11-27,13,12,94,109,10,8,6,9,13,20,2,1,6,0,6170000,991000,2,23,0,18956
2016-17,21600253,2016-11-28,15,28,95,101,7,5,10,10,5,8,2,2,0,0,662000,714000,18,15,0,16111
2016-17,21600254,2016-11-28,10,7,95,122,4,10,13,6,3,31,2,2,0,0,1400000,925000,13,25,0,9669
2016-17,21600255,2016-11-28,18,22,103,112,8,10,8,8,11,10,2,2,0,0,1780000,1800000,1,17,0,30631
2016-17,21600256,2016-11-28,6,19,112,104,9,5,7,11,19,5,1,1,0,0,4090000,2300000,10,5,0,11282
2016-17,21600257,2016-11-28,29,9,85,104,11,9,6,7,6,25,2,2,0,0,766000,726000,26,28,0,5784
2016-17,21600258,2016-11-28,20,27,103,112,5,9,11,8,7,11,2,1,0,0,645000,632000,29,20,0,14293
2016-17,21600259,2016-11-28,13,3,100,105,10,15,7,2,7,8,2,5,0,0,3500000,991000,3,23,0,37234
2016-17,21600260,2016-11-29,17,29,112,89,8,10,10,7,24,4,1,1,1,0,726000,710000,28,21,0,13483
2016-17,21600262,2016-11-29,1,8,101,118,13,7,2,8,14,22,2,4,1,0,695000,2100000,27,11,0,30876
2016-17,21600263,2016-11-29,12,21,105,88,6,9,12,9,28,0,1,1,1,0,659000,6170000,30,2,0,14674
2016-17,21600264,2016-11-29,4,23,95,83,6,14,11,3,17,6,1,1,1,0,2300000,1500000,12,19,0,14272
2016-17,21600265,2016-11-29,26,20,101,120,11,10,6,8,7,23,2,2,1,3,632000,1710000,20,8,0,13192
2016-17,21600267,2016-11-30,17,6,114,121,10,9,7,10,3,11,2,1,2,2,2300000,710000,5,21,0,14636
2016-17,21600268,2016-11-30,9,7,120,105,11,11,6,7,15,8,1,1,2,0,1400000,766000,13,26,0,12089
2016-17,21600269,2016-11-30,12,14,90,96,10,9,6,10,14,6,2,3,2,0,3600000,6170000,4,2,0,27306
2016-17,21600270,2016-11-30,28,18,126,115,11,6,8,10,16,7,1,1,2,0,1800000,662000,16,18,0,23238
2016-17,21600271,2016-11-30,22,27,104,106,5,8,12,9,3,17,2,2,2,0,645000,1780000,29,1,0,23718
2016-17,21600272,2016-11-30,23,30,87,94,3,14,13,4,13,12,2,1,2,0,1200000,2300000,9,12,0,14271
2016-17,21600273,2016-11-30,19,24,98,106,7,5,10,12,7,11,2,0,2,0,634000,4090000,22,10,0,7407
2016-17,21600274,2016-11-30,13,11,107,109,10,5,8,13,5,14,2,1,2,0,753000,991000,14,23,0,9606
2016-17,21600275,2016-11-30,5,2,109,131,9,9,9,10,3,28,2,1,2,0,823000,930000,17,24,0,9376
2016-17,21600277,2016-12-01,8,16,111,93,8,5,8,12,24,4,1,1,3,0,755000,695000,7,27,0,12311
